index,id,section,bucket,persona,priority,en,no,workout_catalog,motivation_stage,instruction_urgency
202,coach.no.supportive.5,coach.no,coach.no.supportive,personal_trainer,core,Settle your pace.,Finn ditt tempo.,,,
203,coach.no.supportive.6,coach.no,coach.no.supportive,personal_trainer,core,Relax. You earned it.,Slapp av. Du fortjener det.,,,
204,coach.no.pressing.1,coach.no,coach.no.pressing,personal_trainer,core,Nice work.,Bra jobba.,,,
205,coach.no.pressing.2,coach.no,coach.no.pressing,personal_trainer,core,Keep it steady.,Hold det jevnt.,,,
206,coach.no.pressing.3,coach.no,coach.no.pressing,personal_trainer,core,Hold the rhythm.,Hold rytmen.,,,
207,coach.no.pressing.4,coach.no,coach.no.pressing,personal_trainer,core,Good rhythm.,Bra rytme.,,,
208,coach.no.intense.1,coach.no,coach.no.intense,personal_trainer,core,All the way! Drive your legs!,Helt inn nå! Trøkk i beina!,,,
209,coach.no.intense.2,coach.no,coach.no.intense,personal_trainer,core,Time to work! Smooth and strong.,Nå må du jobbe! Jevnt og godt.,,,
210,coach.no.intense.3,coach.no,coach.no.intense,personal_trainer,core,One more. Don't stop.,En til. Ikke stopp.,,,
211,coach.no.intense.4,coach.no,coach.no.intense,personal_trainer,core,Finish the rep. Now.,Fullfør draget. Nå.,,,
212,coach.no.intense.5,coach.no,coach.no.intense,personal_trainer,core,Discipline. Execute.,Disiplin. Gjennomfør.,,,
213,coach.no.peak.1,coach.no,coach.no.peak,personal_trainer,core,Finish strong!,Kjør på nå!,,,
214,coach.no.peak.2,coach.no,coach.no.peak,personal_trainer,core,All the way in.,Helt inn!,,,
215,interval.motivate.s1.1,interval.motivate,interval.motivate.s1,personal_trainer,core,Control your breath.,Kontroller pusten.,motivation,start,
216,interval.motivate.s1.2,interval.motivate,interval.motivate.s1,personal_trainer,core,Good start.,God start.,motivation,start,
217,interval.motivate.s2.1,interval.motivate,interval.motivate.s2,personal_trainer,core,Nice work.,Bra jobba.,motivation,steady,
218,interval.motivate.s2.2,interval.motivate,interval.motivate.s2,personal_trainer,core,Hold the rhythm.,Hold det sterkt.,motivation,steady,
219,interval.motivate.s3.1,interval.motivate,interval.motivate.s3,personal_trainer,core,Perfect!,Hold rytmen.,motivation,push,
220,interval.motivate.s3.2,interval.motivate,interval.motivate.s3,personal_trainer,core,Stay with it!,Stå i det!,motivation,push,
221,interval.motivate.s4.1,interval.motivate,interval.motivate.s4,personal_trainer,core,Finish strong!,Kjør på nå!,motivation,finish,
222,interval.motivate.s4.2,interval.motivate,interval.motivate.s4,personal_trainer,core,All the way in.,Helt inn!,motivation,finish,
223,easy_run.motivate.s1.1,easy_run.motivate,easy_run.motivate.s1,personal_trainer,core,Focus on breath and rhythm.,Fokuser på pust og rytme.,motivation,start,
224,easy_run.motivate.s1.2,easy_run.motivate,easy_run.motivate.s1,personal_trainer,core,Settle your pace.,Finn ditt tempo.,motivation,start,
225,easy_run.motivate.s2.1,easy_run.motivate,easy_run.motivate.s2,personal_trainer,core,Good rhythm.,Bra rytme.,motivation,steady,
226,easy_run.motivate.s2.2,easy_run.motivate,easy_run.motivate.s2,personal_trainer,core,Keep it steady.,Hold det jevnt.,motivation,steady,
227,easy_run.motivate.s3.1,easy_run.motivate,easy_run.motivate.s3,personal_trainer,core,Nice work!,Bra jobba!,motivation,push,
228,easy_run.motivate.s3.2,easy_run.motivate,easy_run.motivate.s3,personal_trainer,core,Keep it strong.,Herlig!,motivation,push,
229,easy_run.motivate.s4.1,easy_run.motivate,easy_run.motivate.s4,personal_trainer,core,Stay smooth.,Hold det rolig.,motivation,finish,
230,easy_run.motivate.s4.2,easy_run.motivate,easy_run.motivate.s4,personal_trainer,core,Keep it steady.,Hold det jevnt.,motivation,finish,
